,hb,ha,hm
3,134,133,2.648013e-07
5,159,133,2.824932e-07
8,116,113,2.491632e-07
10,134,113,2.646476e-07
12,159,113,2.8259150000000003e-07
15,102,98,2.345787e-07
17,116,98,2.488785e-07
19,134,98,2.6458300000000003e-07
21,159,98,2.8261040000000004e-07
24,91,86,2.2096139999999998e-07
26,102,86,2.341437e-07
28,116,86,2.4876999999999997e-07
30,134,86,2.645516e-07
32,159,86,2.8268899999999997e-07
35,81,75,2.082501e-07
37,91,75,2.205347e-07
39,102,75,2.339163e-07
41,116,75,2.486445e-07
43,134,75,2.645621e-07
45,159,75,2.827063e-07
50,73,66,1.963119e-07
52,81,66,2.0766189999999998e-07
54,91,66,2.2013750000000002e-07
56,102,66,2.3362779999999997e-07
58,116,66,2.485064e-07
60,134,66,2.644962e-07
62,159,66,2.826799e-07
65,60,58,1.7411449999999998e-07
67,66,58,1.8471689999999998e-07
69,73,58,1.9563479999999998e-07
71,81,58,2.072314e-07
73,91,58,2.198583e-07
75,102,58,2.33508e-07
77,116,58,2.4849e-07
79,134,58,2.6456229999999996e-07
81,159,58,2.827383e-07
84,54,50,1.6340529999999998e-07
86,60,50,1.7322960000000003e-07
88,66,50,1.840095e-07
90,73,50,1.951492e-07
92,81,50,2.068776e-07
94,91,50,2.196994e-07
96,102,50,2.3342779999999998e-07
98,116,50,2.484533e-07
100,134,50,2.6457390000000006e-07
102,159,50,2.828025e-07
104,44,43,1.4259479999999998e-07
107,49,43,1.525718e-07
109,54,43,1.6237570000000002e-07
111,60,43,1.72403e-07
113,66,43,1.8341e-07
115,73,43,1.9465970000000002e-07
117,81,43,2.066315e-07
119,91,43,2.1947279999999999e-07
121,102,43,2.332968e-07
123,116,43,2.4842220000000004e-07
125,134,43,2.646019e-07
127,159,43,2.828574e-07
130,39,37,1.326104e-07
132,44,37,1.419997e-07
134,49,37,1.514752e-07
136,54,37,1.6146710000000002e-07
138,60,37,1.7163220000000002e-07
140,66,37,1.828912e-07
142,73,37,1.942434e-07
144,81,37,2.063166e-07
146,91,37,2.193187e-07
148,102,37,2.331823e-07
150,116,37,2.483852e-07
152,134,37,2.645862e-07
154,159,37,2.828544e-07
156,32,31,1.1472e-07
157,35,31,1.222303e-07
159,39,31,1.3108989999999997e-07
161,44,31,1.4074289999999999e-07
163,49,31,1.5039470000000001e-07
165,54,31,1.606449e-07
167,60,31,1.710909e-07
169,66,31,1.8239190000000002e-07
171,73,31,1.939637e-07
173,81,31,2.060647e-07
175,91,31,2.192023e-07
177,102,31,2.331504e-07
179,116,31,2.483868e-07
181,134,31,2.645464e-07
183,159,31,2.8290959999999996e-07
186,27,26,1.0235950000000001e-07
188,31,26,1.1132339999999999e-07
190,35,26,1.20626e-07
192,39,26,1.297375e-07
194,44,26,1.396126e-07
196,49,26,1.49524e-07
198,54,26,1.600187e-07
200,60,26,1.705195e-07
202,66,26,1.8204729999999997e-07
204,73,26,1.9368289999999998e-07
206,81,26,2.059102e-07
208,91,26,2.1911360000000002e-07
210,102,26,2.3315989999999999e-07
212,116,26,2.484639e-07
214,134,26,2.646808e-07
216,159,26,2.830874e-07
219,23,21,9.115022999999999e-08
221,27,21,1.002753e-07
223,31,21,1.0954410000000001e-07
225,35,21,1.191009e-07
227,39,21,1.285247e-07
229,44,21,1.386666e-07
231,49,21,1.487141e-07
233,54,21,1.593658e-07
235,60,21,1.7005610000000002e-07
237,66,21,1.8165589999999998e-07
239,73,21,1.9343429999999999e-07
241,81,21,2.056805e-07
243,91,21,2.19037e-07
245,102,21,2.3309079999999997e-07
247,116,21,2.484511e-07
249,134,21,2.6471979999999997e-07
251,159,21,2.83163e-07
254,19,16,7.958102999999999e-08
256,23,16,8.893975e-08
258,27,16,9.843912e-08
260,31,16,1.079413e-07
262,35,16,1.17836e-07
264,39,16,1.273841e-07
266,44,16,1.3772789999999998e-07
268,49,16,1.479811e-07
270,54,16,1.587544e-07
272,60,16,1.695906e-07
274,66,16,1.8132770000000002e-07
276,73,16,1.9321999999999998e-07
