#RUN ON SOFTWARE VERSION:
1.3
#FIELD CONFIGURATIONS
Magnet: EM4-CSB
Power supply: LS643
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A1341
Coil set balance number: 0.1
Moment X calibration value: -0.0854380968776596 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: 
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: Sample1
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 1.00000 g
Demagnetization factor: 0.00000 in SI µ0H
#FORC MEASUREMENT
#ACQUISITION SETUP
Saturation field: 1.5 T
FORC type: Classic
Max Hc field: 200 mT
Max Hu field: 100 mT
Min Hu field: -100 mT
Pause at calibration field: 1 s
Number of FORCs: 251
Pause at saturation field: 0.1 s
Pause at reversal fields: 1 s
Field step size: 1.6 mT
Averaging time: 0.1 s
#ADVANCED ACQUISITION SETUP
Acquisition mode: Continuous
Pause at +/-max fields: 0 s
Moment meter range mode: Auto
Gaussmeter range mode: Manual
Gaussmeter fixed range: F0 (3.5 T)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
START TIME: 09/19/2023 12:12:00.401 PM
FINISH TIME: 09/19/2023 02:00:35.701 PM
#DATA: 1
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],Field Status,Moment (m) Status
1,0,0,0.29981130288479396,1.1532817254763294E-05,0,GOOD,GOOD

1,0,1,0.099964473194615447,6.6827933229315972E-06,3.23,GOOD,GOOD

1,0,2,0.29979668743418436,1.1534108782278521E-05,7.19,GOOD,GOOD

1,0,3,0.098362309630794481,6.6331584086833025E-06,10.37,GOOD,GOOD
1,0,3,0.10047573094346068,6.6968616233222338E-06,10.74,GOOD,GOOD
1,0,3,0.1020822334735131,6.747139255272681E-06,10.84,GOOD,GOOD

1,0,4,0.29979462316890204,1.1537621195046392E-05,14.8,GOOD,GOOD

1,0,5,0.096761258084711185,6.5837815388475853E-06,17.98,GOOD,GOOD
1,0,5,0.098715248121969121,6.6433076789842969E-06,18.34,GOOD,GOOD
1,0,5,0.10032067689835483,6.6942575567255432E-06,18.44,GOOD,GOOD
1,0,5,0.10193343848474276,6.7398909487291736E-06,18.54,GOOD,GOOD
1,0,5,0.10354364686058025,6.7901208384226085E-06,18.64,GOOD,GOOD

1,0,6,0.29979545048208484,1.1531560539310472E-05,22.59,GOOD,GOOD

1,0,7,0.095161696061399931,6.5316367370642864E-06,25.77,GOOD,GOOD
1,0,7,0.097112167647728842,6.5937691195515885E-06,26.12,GOOD,GOOD
1,0,7,0.098717498705038279,6.6425392027067059E-06,26.22,GOOD,GOOD
1,0,7,0.10033092606999032,6.692272958346471E-06,26.32,GOOD,GOOD
1,0,7,0.10194116963052537,6.7416472794419048E-06,26.42,GOOD,GOOD
1,0,7,0.10354948572000398,6.7883922330310067E-06,26.52,GOOD,GOOD
1,0,7,0.10515638529138714,6.8383009192843573E-06,26.62,GOOD,GOOD

1,0,8,0.29979153789647056,1.1540263306254143E-05,30.56,GOOD,GOOD

1,0,9,0.093561290058818816,6.4806097133061747E-06,33.74,GOOD,GOOD
1,0,9,0.095512087422356368,6.5400440366282928E-06,34.1,GOOD,GOOD
1,0,9,0.097117284570254633,6.5907739767324159E-06,34.2,GOOD,GOOD
1,0,9,0.098731134556880457,6.6421434641544374E-06,34.3,GOOD,GOOD
1,0,9,0.10034183956500062,6.6882958045454922E-06,34.4,GOOD,GOOD
1,0,9,0.10195018533934244,6.7374352685484857E-06,34.5,GOOD,GOOD
1,0,9,0.10355514262141272,6.7861866402200593E-06,34.6,GOOD,GOOD
1,0,9,0.1051622872120701,6.8385257057444592E-06,34.7,GOOD,GOOD
1,0,9,0.10676666067335373,6.8825357988452629E-06,34.8,GOOD,GOOD

1,0,10,0.29979522678113185,1.1536571114049705E-05,38.75,GOOD,GOOD

1,0,11,0.091960995453835945,6.4294464873539026E-06,41.93,GOOD,GOOD
1,0,11,0.093911437452785337,6.4875125101303109E-06,42.29,GOOD,GOOD
1,0,11,0.0955173194147933,6.5411544792546154E-06,42.39,GOOD,GOOD
1,0,11,0.0971302889660174,6.588746547083706E-06,42.49,GOOD,GOOD
1,0,11,0.098742395715454692,6.635885187799971E-06,42.59,GOOD,GOOD
1,0,11,0.10035053353112686,6.6853351629667378E-06,42.69,GOOD,GOOD
1,0,11,0.10195562562087161,6.7355404977232975E-06,42.79,GOOD,GOOD
1,0,11,0.1035615399200259,6.7884863499282946E-06,42.89,GOOD,GOOD
1,0,11,0.10516599460964671,6.8360029501792425E-06,42.99,GOOD,GOOD
1,0,11,0.10676992194867461,6.8837640430041896E-06,43.09,GOOD,GOOD
1,0,11,0.10837196788149704,6.9353713092453174E-06,43.19,GOOD,GOOD

1,0,12,0.29979468815055937,1.1536255318912174E-05,47.14,GOOD,GOOD

1,0,13,0.090361181631165036,6.373445379357687E-06,50.32,GOOD,GOOD
1,0,13,0.092314093463709029,6.4374059546008265E-06,50.68,GOOD,GOOD
1,0,13,0.09391910717666023,6.4862025197891308E-06,50.78,GOOD,GOOD
1,0,13,0.095533344672848616,6.535757987937864E-06,50.88,GOOD,GOOD
